Invoice_No,Date,Time,Buyer_Name,Buyer_Address,PAN,GSTIN,Item,Qty,Rate,Amount,CGST,SGST,Total,Terms,Source_File
INV/2046/0336,2003-10-21,15:47:00,Nirvaan Tailor,"483, Sane Road, Kochi-608404",,,Details:,4,182,728,65.52,65.52,859.04,,invoice_india_1.jpg.txt
INV/2046/0336,2003-10-21,15:47:00,Nirvaan Tailor,"483, Sane Road, Kochi-608404",,,Details:,4,182,728,65.52,65.52,859.04,,invoice_india_1.txt
INV/2016/0776,2006-06-13,11:39:00,Shanaya Ramakrishnan,"995, Hora Marg, Burhanpur-715170",,,Details:,3,375,1125,101.25,101.25,1327.5,,invoice_india_10.jpg.txt
INV/2016/0776,2006-06-13,11:39:00,Shanaya Ramakrishnan,"995, Hora Marg, Burhanpur-715170",,,Details:,3,375,1125,101.25,101.25,1327.5,,invoice_india_10.txt
INV/2022/0887,1996-12-30,19:30:42,Zara Behl,"672, Bora, Shimla 088369",,,Details:,2,331,662,59.58,59.58,781.16,,invoice_india_100.jpg.txt
INV/2022/0887,1996-12-30,19:30:42,Zara Behl,"672, Bora, Shimla 088369",,,Details:,2,331,662,59.58,59.58,781.16,,invoice_india_100.txt
INV/2027/0411,2012-06-29,17:22:55,Pari Saha,"H.No. 391, Luthra Chowk, Tirupati-699918",,83ABCDE70092Z11,Details:,1,964,964,86.76,86.76,1137.52,,invoice_india_1000.jpg.txt
INV/2027/0411,2012-06-29,17:22:55,Pari Saha,"H.No. 391, Luthra Chowk, Tirupati-699918",,83ABCDE70092Z11,Details:,1,964,964,86.76,86.76,1137.52,,invoice_india_1000.txt
INV/2061/0253,2011-12-31,19:51:04,Gokul Bhatia,"311, Sandal Path, Purnia-577365",,,Details:,3,902,2706,243.54,243.54,3193.08,,invoice_india_101.jpg.txt
INV/2061/0253,2011-12-31,19:51:04,Gokul Bhatia,"311, Sandal Path, Purnia-577365",,,Details:,3,902,2706,243.54,243.54,3193.08,,invoice_india_101.txt
INV/2068/0855,1970-10-03,00:25:08,Aarush Master,"H.No. 50, Banik Marg, Dehradun-432127",,,Details:,5,322,1610,144.9,144.9,1899.8,,invoice_india_102.jpg.txt
INV/2068/0855,1970-10-03,00:25:08,Aarush Master,"H.No. 50, Banik Marg, Dehradun-432127",,,Details:,5,322,1610,144.9,144.9,1899.8,,invoice_india_102.txt
INV/2049/0207,2010-09-08,03:04:08,Baiju Sarma,"52/92, Sankaran Zila, Sirsa 048337",,,Details:,1,887,887,79.83,79.83,1046.66,,invoice_india_103.jpg.txt
INV/2049/0207,2010-09-08,03:04:08,Baiju Sarma,"52/92, Sankaran Zila, Sirsa 048337",,,Details:,1,887,887,79.83,79.83,1046.66,,invoice_india_103.txt
INV/2048/0939,2005-11-08,00:53:15,Ehsaan Contractor,"91/67, Deo Road, Raebareli 406817",,,Details:,4,102,408,36.72,36.72,481.44,,invoice_india_104.jpg.txt
INV/2048/0939,2005-11-08,00:53:15,Ehsaan Contractor,"91/67, Deo Road, Raebareli 406817",,,Details:,4,102,408,36.72,36.72,481.44,,invoice_india_104.txt
INV/2049/0457,2009-06-15,23:43:36,Faiyaz Dora,"10, Dass Chowk, Dindigul 059826",,,Details:,5,299,1495,134.55,134.55,1764.1,,invoice_india_105.jpg.txt
INV/2049/0457,2009-06-15,23:43:36,Faiyaz Dora,"10, Dass Chowk, Dindigul 059826",,,Details:,5,299,1495,134.55,134.55,1764.1,,invoice_india_105.txt
INV/2025/0801,1974-04-30,17:47:39,Rati Batra,"88, Goyal, Hosur 173040",,,Details:,5,398,1990,179.1,179.1,2348.2,,invoice_india_106.jpg.txt
